BRKYPA11,ÉÇÅ[É^Å[ê¨ê—èWåvï\,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022îN 5åé18ì˙ 09:34:18 I,2022îN 5åé17ì˙ åªç›,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èZîVç],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èWåvä˙ä‘:2022îN 5åé18ì˙à»ëOÅ@ëSêﬂ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èoóÕèáéwíË:ÉÇÅ[É^Å[î‘çÜèá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅyíçÅFèoëñâÒêîÇ…ÇÕëIéËê”îCäOéñåÃâÒêîÇÕä‹Ç›Ç‹ÇπÇÒÅz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èüó¶ÇÃï\é¶è¨êîì_à»â∫ëÊ2à ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2òAó¶ÇÃï\é¶è¨êîì_à»â∫ëÊ2à ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÉÇÅ[É^Å[,,,,,,,íÖâÒêî,,,,,,,,éñåÃâÒêî,,,,,,,,,,,,,,
î‘çÜ,ÉÇÅ[É^Å[ãâï ,èWåvä˙ä‘,êﬂêî,èüó¶,2òAó¶,éñåÃó¶,1íÖ,2íÖ,3íÖ,4íÖ,5íÖ,6íÖ,èoëñâÒêî,íÖèáì_,F,L0,L1,K0,K1,S0,S1,S2,ïsó«,ë“ã@,éñåÃì_,óDèoâÒêî,óDèüâÒêî,ç≈çÇÉ^ÉCÉÄ(1800m),îıçl
10,C,2022/03/22Å`2022/05/06,4,6,43.75,0,4,10,5,9,2,2,32,192,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""6",
11,C,2022/03/22Å`2022/05/17,4,4.4,26.67,0.67,2,6,3,7,7,4,30,132,1,0,0,0,0,0,0,0,0,0,20,0,0,"1'49""6",
12,C,2022/03/22Å`2022/05/06,4,5,35.29,0.59,4,8,4,6,7,4,34,170,1,0,0,0,0,0,0,0,0,0,20,1,0,"1'48""6",
13,C,2022/03/22Å`2022/05/17,4,5.33,30.3,0,6,4,7,6,8,2,33,176,0,0,0,0,0,0,0,0,0,0,0,1,0,"1'48""7",
14,C,2022/03/22Å`2022/05/17,5,5,30.95,0,6,7,9,4,8,8,42,210,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'49""1",
15,C,2022/03/22Å`2022/05/06,5,5.43,28.57,0.24,5,7,12,10,3,4,42,228,0,0,0,0,0,0,1,0,0,0,10,1,0,"1'49""4",
16,C,2022/03/22Å`2022/05/17,5,6.13,42.5,0.5,10,7,9,6,4,3,40,245,1,0,0,0,0,0,0,0,0,0,20,2,1,"1'48""8",
17,C,2022/03/22Å`2022/05/06,4,5.44,34.38,1.09,5,6,9,3,3,4,32,174,1,0,0,0,0,0,0,1,0,0,35,0,0,"1'48""7",
18,C,2022/03/22Å`2022/05/06,4,5.79,44.83,0,8,5,4,3,3,6,29,168,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""9",
19,C,2022/03/22Å`2022/05/06,5,5.07,31.71,0,6,7,9,4,7,8,41,208,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""4",
20,C,2022/03/22Å`2022/05/17,5,4.05,21.05,0,2,6,6,5,11,8,38,154,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'49""3",
21,C,2022/03/22Å`2022/05/17,5,5.43,37.5,1,9,6,8,4,5,5,40,217,1,0,0,0,1,0,1,0,0,0,40,1,0,"1'49""2",
22,C,2022/03/22Å`2022/05/06,4,5.41,31.25,0,5,5,8,6,3,5,32,173,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""6",
23,C,2022/03/22Å`2022/05/17,4,4.91,41.18,0.29,5,9,1,4,9,5,34,167,0,0,0,0,0,0,1,0,0,0,10,0,0,"1'49""5",
24,C,2022/03/22Å`2022/05/17,4,5.56,41.18,0,7,7,4,6,5,5,34,189,0,0,0,0,0,1,0,0,0,0,0,1,0,"1'48""1",
25,C,2022/03/22Å`2022/05/06,4,5.9,45.16,0.06,9,5,5,2,5,5,31,183,0,0,0,0,0,0,0,0,1,0,2,0,0,"1'49""0",
26,C,2022/03/22Å`2022/05/17,5,5.56,41.03,0,8,8,5,7,4,7,39,217,0,0,0,0,0,0,0,0,0,0,0,2,0,"1'48""7",
27,C,2022/03/22Å`2022/05/17,5,4.37,19.51,0,5,3,7,9,10,7,41,179,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'49""4",
28,C,2022/03/22Å`2022/05/17,5,4.15,20,0,0,8,8,8,6,10,40,166,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'50""8",
29,C,2022/03/22Å`2022/05/17,5,4.33,27.27,0,5,4,3,4,10,7,33,143,0,0,0,0,0,0,0,0,0,0,0,0,0,"1'48""9",
